sentence,tags
"Inflasi komponen inti pada bulan Mei 2007 sebesar 0,32 persen , laju-inflasi komponen inti tahun kalender Januari - Mei 2007 sebesar 2,01 persen , sedangkan laju-inflasi komponen inti year - on-year Mei 2007 terhadap Mei 2006 sebesar 5,62 persen , kata -nya .",NN NN NN IN NN NNP CD JJ CD CD Z NN NN NN NN NN NNP Z NNP CD JJ CD CD Z CC NN NN NN FW FW FW NNP CD IN NNP CD JJ CD CD Z VB PRP Z
"Perusahaan alat berat PT United Tractors Tbk UNTR sampai dengan pertengahan 2007 mencatat pendapatan-bersih konsolidasi sebesar Rp 8,19 triliun , atau mengalami kenaikan 18 persen dibanding pada semester pertama tahun lalu sebesar Rp 6,92 triliun .",NN NN JJ NNP NNP NNP NNP NNP IN IN NN CD VB NN NN JJ SYM CD CD Z CC VB NN CD CD VB IN NN OD NN CC JJ SYM CD CD Z
"Reptil itu telah dikembalikan ke Mesir , dan wanita tersebut dimintai keterangan oleh aparat keamanan Palestina .",NN PR MD VB IN NNP Z CC NN PR VB NN IN NN NN NNP Z
Tidak ada informasi apa penyebab luka -nya .,NEG VB NN SC NN NN PRP Z
"Blair mengatakan pada jumpa-pers di Berlin , orang-orang Inggris itu berada di perairan Irak ketika mereka ditangkap dengan todongan senjata oleh pasukan Garda Revolusi Iran pada Jumat .",NNP VB IN NN IN NNP Z NN NNP PR VB IN NN NNP SC PRP VB SC NN NN IN NN NNP NNP NNP IN NNP Z
"Seperti di Malaysia , mereka sudah menerbitkan dalam denominasi ringgit Malaysia , kata -nya .",IN IN NNP Z PRP MD VB IN NN NN NNP Z VB PRP Z
"Pemerintah sendiri dalam APBN 2007 menargetkan penerbitan SUN netto Rp 40,6 triliun dan bruto Rp 66,8 triliun .",NN NN IN NN CD VB NN NNP FW SYM CD CD CC NN SYM CD CD Z
Angka penguatan rupiah saat ini masih tetap dalam range yang sesuai dengan survei Bank Indonesia .,NN NN NN NN PR MD RB IN FW SC JJ IN NN NNP NNP Z
"Perusahaan tambang-timah milik negara PT Timah Tbk TINS di Jakarta , Selasa , menyatakan dalam tiga bulan pertama per Maret 2007 , meraih laba-bersih sebesar Rp 314,3 miliar naik dari hanya Rp 11,6 miliar pada periode sama tahun lalu .",NN NN NN NN NNP NNP NNP NNP IN NNP Z NNP Z VB IN CD NN OD IN NNP CD Z VB NN JJ SYM CD CD VB IN RB SYM CD CD IN NN JJ NN CC Z
Sementara untuk penjualan mobil non Astra selama 9 bulan 2007 mencapai 169.886 unit .,CC IN NN NN RB NNP IN CD NN CD VB CD NN Z
Pemerintah memahami pandangan ini dan,NN VB NN PR CC
"Realisasi investasi tahun ini merupakan tertinggi sejak 1967 saat pertama kali berlaku -nya UU Penanam Modal , kata Kepala BKPM M. Lutfi , di Kantor Presiden , Jakarta , Selasa .",NN NN NN PR VB JJ IN CD NN OD NN VB PRP NNP NNP NNP Z VB NNP NNP NNP NNP Z IN NNP NNP Z NNP Z NNP Z
"Itu akan menjadi titik perubahan mengenai bagaimana tetangga kami memandang Irak , kata Hoshiyar Zebari kepada wartawan setelah pertemuan dengan timpalan -nya dari Italia Massimo D ' Alema di Roma .",PR MD VB NN NN IN WH NN PRP VB NNP Z VB NNP NNP IN NN SC NN SC NN PRP IN NNP NNP NNP Z NNP IN NNP Z
Akar masalah dihadapi pasukan Afrika Bersatu adalah kekurangan parah perlengkapan dan senjata serta alat untuk membayar mereka .,NN NN VB NN NNP VB VB NN JJ NN CC NN CC NN SC VB PRP Z
"Pada periode 10 bulan pertama , produksi super CPO AALI naik sebesar 4,6 persen dari 482.302 ton menjadi 504.469 ton .",IN NN CD NN OD Z NN FW FW NNP VB JJ CD CD IN CD NND VB CD NND Z
Norte de Santander adalah sebuah daerah yang diperebutkan oleh pemberontak sayap kiri dan milisi paramiliter sayap kanan yang melakukan perang-gerilya selama puluhan tahun .,NNP NNP NNP VB NND NN SC VB IN NN NN NN CC NN JJ NN NN SC VB NN IN CD NN Z
"Menurut dia , menguat -nya rupiah yang sebelum -nya terkoreksi sesi pagi turun sudah diperkirakan sebelum -nya , karena koreksi harga yang terjadi relatif kecil .",IN PRP Z VB PRP NN SC SC PRP VB NN NN VB MD VB SC PRP Z SC NN NN SC VB JJ JJ Z
"Semua negara terutama di Asia sudah melakukan hal yang cukup bagus untuk mengurangi kemiskinan , kata -nya .",CD NN JJ IN NNP MD VB NN SC RB JJ SC VB NN Z VB PRP Z
"Kendati porsi investasi pemerintah tergolong kecil , namun peran -nya sangat besar untuk menggairahkan sektor riil karena belanja pemerintah lebih banyak bersifat padat-karya , kata Syumli .",SC NN NN NN VB JJ Z CC NN PRP RB JJ SC VB NN JJ SC NN NN RB CD VB JJ Z VB NNP Z
"Hal itu diungkapkan Burhanuddin usai menandatangani nota kesepahaman MoU pembentukan Forum Kerja-sama Kadin - BI FK2BI yang dilakukan di sela-sela Rapimnas Kadin 2007 , Balai Sidang Jakarta , Senin malam .",NN PR VB NNP SC VB NN NN FW NN NNP NNP NNP Z NNP NNP SC VB IN NN NNP NNP CD Z NNP NNP NNP Z NNP NN Z
"Ia mengatakan , rupiah masih memerlukan waktu untuk bisa mencapai angka Rp 9.1 per dolar AS .",PRP VB Z NN MD VB NN SC MD VB NN SYM CD IN NN NNP Z
"Melalui UU nomor 18 tahun 2006 tentang APBN 2007 , pemerintah dan DPR menetapkan besar -nya rencana penerimaan pajak sebesar Rp 452.556,9 miliar atau naik sekitar 23,51 persen bila dibandingkan dengan rencana dalam APBN 2006 tanpa PPh Migas .",IN NNP NN CD NN CD IN NN CD Z NN CC NNP VB JJ PRP NN NN NN JJ SYM CD CD CC VB IN CD CD SC VB IN NN IN NN CD IN NN NN Z
"Tapi ke-depan , dengan tindakan yang dilakukan ' The Fed ' dan semua mengekspektasikan ' The Fed ' akan melakukan pemotongan suku bunga dan itu mudah-mudahan dapat mengurangi dampak ' subprime mortgage ' , akan memberikan dampak-positif terhadap nilai-tukar rupiah , kata -nya .",CC RB Z IN NN SC VB Z NNP NNP Z CC CD VB Z NNP NNP Z MD VB NN NN NN CC PR RB MD VB NN Z FW FW Z Z MD VB NN IN NN NN Z VB PRP Z
"BI , menurut dia akan tetap menjaga rupiah agar tidak berada di luar koridor yang ditentukan , apalagi BI memiliki cadangan devisa yang cukup besar .",NNP Z IN PRP MD RB VB NN SC NEG VB IN NN NN SC VB Z CC NNP VB NN NN SC RB JJ Z
Penyelidikan itu akan dipusatkan khusus -nya pada apakah ia membantu teman-teman -nya yang pengusaha dalam upaya menswastakan bank Israel Leumi ketika Olmert menjadi menteri keuangan Israel .,NN PR MD VB JJ PRP IN WH PRP VB NN PRP SC NN IN NN VB NN NNP NNP SC NNP VB NN NN NNP Z
"Kenaikan harga premium rata-rata Rp 4.887 itu , kata -nya , dihitung dengan menggunakan harga Rp 4.500 selama 23 hari dan harga Rp 6.000 selama 8 hari tersisa .",NN NN NN JJ SYM CD PR Z VB PRP Z VB IN VB NN SYM CD IN CD NN CC NN SYM CD IN CD NN VB Z
Produk simpanan dan pinjaman dirancang sedemikian rupa sehingga sesuai dengan tuntutan masyarakat yang membutuhkan -nya .,NN NN CC NN VB PR NN SC JJ SC NN NN SC VB PRP Z
"Meskipun persaingan meningkat , bisnis kami tetap bertahan khusus -nya setelah melewati 2006 yang sulit .",SC NN VB Z NN PRP RB VB JJ PRP SC VB CD SC JJ Z
Sedikitnya 30 orang Palestina tewas dalam bentrokan antarkelompok sejak Abbas bulan lalu menyerukan pemilihan-umum segera dalam upaya mengatasi kebuntuan dengan Hamas .,RB CD NN NNP VB IN NN JJ IN NNP NN CC VB NN RB IN NN VB NN IN NNP Z
Moody ' s telah memberikan peringkat korporasi B2 kepada PT Gajah Tunggal Tbk dan B2 terhadap obligasi sebesar 325 juta dolar AS yang telah diterbitkan oleh perseroan pada 2005 .,NNP NNP NNP MD VB NN NN NN IN NNP NNP NNP NNP CC NN IN NN JJ CD CD NN NNP SC MD VB IN NN IN CD Z
"Dari penjualan motor semester pertama 2008 tersebut , motor merek Honda masih tetap mendominasi dengan penjualan sebanyak 1.405.669 unit atau dengan pangsa-pasar 46 persen .",IN NN NN NN OD CD PR Z NN NN NNP MD RB VB IN NN CD CD NN CC IN NN CD CD Z
"Saya masih optimistis , ekspor kita masih baik , kata -nya .",PRP MD JJ Z NN PRP MD JJ Z VB PRP Z
"Karena itu peluang rupiah untuk menguat pada pekan depan kemungkinan akan terjadi , apalagi investor asing meningkatkan investasi -nya , kata -nya .",IN PR NN NN SC VB IN NN NN MD MD VB Z CC NN JJ VB NN PRP Z VB PRP Z
"Di Paris , juru-bicara kementerian luar-negeri Prancis memastikan laporan bahwa ketiga orang terculik itu adalah warga-negara Prancis .",IN NNP Z NN NNP NNP NNP VB NN SC CD NN VB PR VB NN NNP Z
"Analis Valas PT Bank Himpunan Saudara Tbk , Rully Nova mengatakan di Jakarta , Kamis , aksi konsolidasi oleh pelaku-pasar masih berlanjut , karena posisi rupiah saat ini dinilai cukup stabil .",NNP NNP NNP NNP NNP NNP NNP Z NNP NNP VB IN NNP Z NNP Z NN NN IN NN MD VB Z SC NN NN NN PR VB RB JJ Z
"Dengan demikian , keduanya akan berkembang sesuai dengan level yang digumuli -nya .",SC PR Z CD MD VB JJ SC NN SC VB PRP Z
Situs itu melaporkan O ' Neal ditahan di kantor sherif Lost Hills dan dibebaskan beberapa jam kemudian setelah membayar uang-jaminan 50 ribu dolar .,NN PR VB NNP NNP NNP VB IN NN X NNP NNP CC VB CD NN CC SC VB NN CD CD NN Z
"Selama ini , kata -nya , IDB telah melakukan mekanisme serupa di banyak negara anggota Organisasi Konferensi Islam OKI .",IN PR Z VB PRP Z NNP MD VB NN NN IN CD NN NN NNP NNP NNP NNP Z
"Dari jumlah Rp 8,9 triliun , PT Pertamina belum memberikan karena masih dalam proses perhitungan , jelas Menkeu .",IN NN SYM CD CD Z NNP NNP NEG VB SC MD IN NN NN Z VB NN Z
"Sugiharto sendiri mengakui bahwa untuk meningkatkan kinerja BUMN pihak -nya mengarahkan sejumlah BUMN yang dinilai sudah mampu bersaing untuk masuk bursa , terutama untuk mendapatkan modal bagi pengembangan BUMN tersebut , seperti pada PT Perkebunan Nusantara PTPN III yang berencana melakukan penjualan saham perdana IPO tahun ini untuk mengembangkan industri-hilir berbasis minyak sawit mentah CPO .",NNP PRP VB SC SC VB NN NN NN PRP VB CD NN SC VB MD JJ VB SC VB NN Z JJ SC VB NN IN NN NN PR Z IN IN NNP NNP NNP NNP NNP SC VB VB NN NN OD FW NN PR SC VB NN VB NN NN JJ FW Z
Amandemen juga akan mencegah kandidat independen untuk posisi presiden dan melarang semua aktivitas politik berbasis keyakinan agama .,NN RB MD VB NN JJ IN NN NN CC VB CD NN NN VB NN NN Z
Kami telah mendapatkan jaminan dari PGN akan kelancaran pasokan gas yang dialirkan melalui pipa SSWJ .,PRP MD VB NN IN NNP MD NN NN NN SC VB IN NN NNP Z
"Beberapa anggota gerakan nasional Mesir untuk perubahan , Kefaya , dan para pemimpin oposisi melakukan aksi protes di depan sekretariat Persatuan Wartawan Mesir di pusat kota Kairo , menyerukan kepada masyarakat agar memboikot referendum yang berlangsung Senin ( 26 / 3 ) menyangkut amandemen terhadap 34 pasal konstitusi Mesir .",CD NN NNP NNP NNP NNP NNP Z NNP Z CC DT NN NN VB NN NN IN NN NN NNP NNP NNP IN NN NN NNP Z VB IN NN SC VB NN SC VB NNP Z CD Z CD Z VB NN IN CD NN NN NNP Z
"Kurs rupiah terhadap dolar AS di Pasar Spot Antar Bank Jakarta , Selasa pagi , merosot tajam kembali di atas level Rp 9.400 per dolar AS , pelaku-pasar masih khawatir dengan prospek ekonomi AS .",NN NN IN NN NNP IN NNP NNP NNP NNP NNP Z NNP NN Z VB JJ VB IN NN NN SYM CD IN NN NNP Z NN MD JJ IN NN NN NNP Z
"Menurut dia , rupiah lambat-laun akan bisa berada di-bawah angka Rp 9.100 per dolar AS , meski pada posisi tersebut dinilai sangat stabil .",IN PRP Z NN JJ MD MD VB VB NN SYM CD IN NN NNP Z SC IN NN PR VB RB JJ Z
"Dalam kaitan dengan upaya penghematan subsidi listrik , saya sangat menghargai pengertian masyarakat dan dunia usaha , terkait dengan kebijakan pergeseran jam-kerja sektor industri untuk mengurangi beban puncak pemakaian listrik , kata Presiden .",IN NN IN NN NN NN NN Z PRP RB VB NN NN CC NN NN Z VB IN NN NN NN NN NN SC VB NN NN NN NN Z VB NNP Z
Hal ini menurut dia karena adanya tunggakan restitusi yang telah dibayar sebesar Rp 15 triliun yang terdiri dari tunggakan masa-lalu Rp 7 triliun dan tunggakan tahun yang sedang berjalan Rp 8 triliun .,NN PR IN PRP SC NN NN NN SC MD VB JJ SYM CD CD SC VB IN NN NN SYM CD CD CC NN NN SC MD VB SYM CD CD Z
"Enam prajurit internasional pimpinan NATO tewas akibat luka-luka yang mereka derita Minggu dalam serangan ranjau di Afghanistan selatan , demikian diumumkan persekutuan tersebut .",CD NN JJ NN NNP VB NN NN SC PRP VB NNP IN NN NN IN NNP NNP Z PR VB NN PR Z
"Suku bunga produk kami 50 basis poin di atas LIBOR yang berfluktuasi , namun lebih rendah dari pasar .",NN NN NN PRP CD NN NN IN NN X SC VB Z CC RB JJ IN NN Z
Kebijakan yang ditempuh tersebut kurang memberikan apresiasi terhadap kenyataan bahwa di dalam-negeri terdapat sumber dana yang memadai .,NN SC VB PR RB VB NN IN NN SC IN NN VB NN NN SC VB Z
"Kurs rupiah terhadap dolar AS di pasar spot antar bank Jakarta , Senin sore , turun tajam 20 poin menjadi Rp 9.225 / 9.230 per dolar AS dibanding penutupan akhir-pekan lalu Rp 9.205 / 9.215 , karena pelaku-pasar masih aktif membeli dolar AS .",NN NN IN NN NNP IN NN NNP IN NN NNP Z NNP NN Z VB JJ CD NN VB SYM CD Z CD IN NN NNP VB NN NN CC SYM CD Z CD Z SC NN MD JJ VB NN NNP Z
Dewasa ini keuangan mikro telah berkembang pesat menjadi salah-satu sektor keuangan yang sangat dinamis dan inovatif .,RB PR NN JJ MD VB JJ VB CD NN NN SC RB JJ CC JJ Z
"Belajar dari kasus privatisasi Indosat , kemungkinan obral besar-besaran BUMN tahun ini merupakan upaya untuk menggalang dana pemenangan pemilu 2009 bisa saja terjadi .",VB IN NN NN NNP Z NN VB JJ NN NN PR VB NN SC VB NN NN NN CD MD RB VB Z
"Acara TV Australia ' s Next Top Model , sempat mengumumkan pemenang yang salah dalam final yang disiarkan langsung pada seri -nya yang keenam .",NN NN NNP NNP NNP NNP NNP NNP Z MD VB NN SC JJ IN NN SC VB RB IN NN PRP SC OD Z
"Ia mengatakan , rupiah diperkirakan akan kembali menguat hingga mencapai angka Rp 9.235 per dolar AS , karena sentimen positif dari penawaran obligasi pemerintah masih cukup besar .",PRP VB Z NN VB MD VB VB SC VB NN SYM CD IN NN NNP Z SC NN JJ IN NN NN NN MD RB JJ Z
"yakni Bank Mandiri , BNI , BRI , BCA , Danamon , Niaga , Bank Mega dan BII , kata Dirut PT Jasa Marga , Frans S Sunito di Jakarta , Jumat .",SC NNP NNP Z NNP Z NNP Z NNP Z NNP Z NNP Z NNP NNP CC NNP Z VB NNP NNP NNP NNP Z NNP NNP NNP IN NNP Z NNP Z
Pemilihan umum direncanakan berlangsung pada 22 Januari namun macet di tengah jalan akibat keadaan-darurat yang diumumkan Presiden Iajuddin Ahmad yang melarang semua kegiatan politik untuk mencegah negara itu terjeblos ke dalam kekacauan .,NN JJ VB VB IN CD NNP CC JJ IN NN NN NN NN SC VB NNP NNP NNP SC VB CD NN NN SC VB NN PR VB IN NN NN Z
Yang perlu diwaspadai adalah dua pekan pertama Oktober nanti .,DT MD VB VB CD NN OD NNP NN Z
"Apresiasi nilai-tukar juga telah membantu mengurangi rasio utang pemerintah dari posisi tertinggi 100 persen dari PDB pada 2000 menjadi diharapkan 34 persen pada 2008 , kata Aninda Mitra , analis Moody ' s untuk Indonesia .",NN NN RB MD VB VB NN NN NN IN NN JJ CD CD IN NN IN CD VB VB CD CD IN CD Z VB NNP NNP Z NNP NNP NNP NNP IN NNP Z
"PT Bank UOB Buana Tbk UOB Buana berhasil membukukan laba-bersih kuartal ketiga 2007 sebesar Rp 357,06 miliar atau meningkat 10,52 persen dari laba-bersih pada periode sama tahun lalu yang tercatat Rp 326,07 miliar .",NNP NNP NNP NNP NNP NNP NNP VB VB NN NN OD CD JJ SYM CD CD CC VB CD CD IN NN IN NN JJ NN CC SC VB SYM CD CD Z
"Lima juru-runding Korsel pada Kamis melakukan kunjungan kehormatan kepada Kim Yong - Nam , yang merupakan Kepala Negara seremonial Korut , kata para pejabat .",CD NN NNP IN NNP VB NN NN IN NNP NNP NNP NNP Z SC VB NNP NNP NNP NNP Z VB DT NN Z
Pemerintah Daerah memiliki peran strategis dalam penanggulangan kemiskinan .,NN NN VB NN JJ IN NN NN Z
"Menurut Fadjrijah , BI terus mendorong perkembangan bank-syariah antara lain dengan mempermudah dan memperbanyak layanan syariah , memperbanyak pembukaan kantor-cabang , termasuk konversi dari unit syariah menjadi bank-syariah serta meringankan modal pendirian bank-syariah .",IN NNP Z NNP RB VB NN NN IN JJ IN VB CC VB NN X Z VB NN NN Z VB NN IN NN X VB NN CC VB NN NN NN Z
Pemerintah menyatakan posisi Neraca Perdagangan Indonesia NPI berada dalam posisi aman meskipun Badan Pusat Statistik BPS melaporkan adanya defisit untuk pertama kali -nya .,NN VB NN NN NN NNP NN VB IN NN JJ SC NNP NNP NNP NNP VB NN NN IN OD NN PRP Z
"Rupiah , lanjut dia juga dijaga oleh Bank Indonesia BI yang berusaha menjaga -nya agar tetap berada di posisi Rp 9.3 per dolar AS yang dinilai cukup aman .",NN Z VB PRP RB VB IN NNP NNP NNP SC VB VB PRP SC RB VB IN NN SYM CD IN NN NNP SC VB RB JJ Z
"Kurs rupiah terhadap dolar AS di pasar spot antarbank Jakarta , Selasa sore tetap merosot di atas angka Rp 9.3 per dolar AS , karena pelaku masih memburu dolar AS akibat gejolak ekonomi global .",NN NN IN NN NNP IN NN NNP NN NNP Z NNP NN RB VB IN NN NN SYM CD IN NN NNP Z SC NN MD VB NN NNP NN NN NN JJ Z
"Menteri Imigrasi Australia yang kontroversial , Amanda Vanstone Selasa dicoret dari jabatan -nya dalam perombakan kabinet yang dilakukan oleh Perdana Menteri John Howard .",NNP NNP NNP SC JJ Z NNP NNP NNP VB IN NN PRP IN NN NN SC VB IN NNP NNP NNP NNP Z
"Pemerintah , yang dipimpin oleh Presiden Abdullahi Yusuf dari suku Darod , menghadapi aksi perlawanan dari kelompok pendukung Pengadilan Agama dan milisi suku di ibu-kota pantai tersebut .",NN Z SC VB IN NNP NNP NNP IN NN NNP Z VB NN NN IN NN NN NNP NNP CC NN NN IN NN NN PR Z
"Perusahaan farmasi PT Tempo Scan Pacific Tbk TSPC di Jakarta , Jumat , menyatakan perolehan laba-bersih -nya dalam tiga bulan pertama yang berakhir Maret 2007 naik 12,83 persen menjadi Rp 106,93 miliar dari Rp 94,77 miliar pada periode sama tahun lalu .",NN NN NNP NNP NNP NNP NNP NNP IN NNP Z NNP Z VB NN NN PRP IN CD NN OD SC VB NNP CD VB CD CD VB SYM CD CD IN SYM CD CD IN NN JJ NN CC Z
"Clinton , mantan ibu-negara , meraih suara dukungan 36 persen Demokrat , dibanding 41 persen pada survei sebelumnya .",NNP Z JJ NN Z VB NN NN CD CD NNP Z VB CD CD IN NN SC Z
Ia mengakui harga minyak dunia mengalami penurunan cukup signifikan dalam beberapa waktu terakhir bahkan mencapai sekitar 120 dolar AS .,PRP VB NN NN NN VB NN RB JJ IN CD NN JJ RB VB IN CD NN NNP Z
"Menurut Ka'ban , pembangunan hutan tanaman rakyat dengan target seluas 5,4 juta hektare tidak mungkin diselesaikan dalam tahun 2007 ini saja . Itu target yang harus diselesaikan selama beberapa tahun , rencana -nya sampai 2014 , kata -nya .",IN NNP Z NN NN NN NN IN NN JJ CD CD FW NEG MD VB IN NN CD PR RB Z PR NN SC MD VB IN CD NN Z NN PRP IN CD Z VB PRP Z
"Sementara itu mengenai kemungkinan BI melaksanakan kebijakan-moneter yang ketat dengan menaikkan tingkat bunga , Miranda mengatakan , kebijakan yang akan dilakukan adalah kebijakan-moneter yang dibutuhkan . Apakah akan ketat atau longgar akan tergantung kepada informasi terakhir yang ada .",SC PR IN NN NNP VB NN SC JJ IN VB NN NN Z NNP VB Z NN SC MD VB VB NN SC VB Z SC MD JJ CC JJ MD VB IN NN JJ SC VB Z
"Karena itu perbankan sangat berminat menyalurkan dana SUN itu , ucap -nya .",SC PR NN RB VB VB NN NNP PR Z VB PRP Z
"Seperti dipahami bersama , usaha mikro sangat sulit mengakses ke perbankan .",IN VB IN Z NN JJ RB JJ VB IN NN Z
"Penanam modal bisa memasukkan dana -nya mulai Mei dengan minimum setoran 50 riyal , kata bank .",NN NN MD VB NN PRP VB NNP IN NN NN CD NN Z VB NN Z
"Untuk menyelidiki -nya , Dr. Andrew T. Chan , dari Harvard Medical Scholl di Boston , dan rekan -nya menganalisis data dari 79.439 perempuan yang terdaftar dalam Studi Kesehatan Keperawatan .",SC VB PRP Z NNP NNP NNP NNP Z IN NNP NNP NNP IN NNP Z CC NN PRP VB NN IN CD NN SC VB IN NNP NNP NNP Z
Perusahaan jasa pelayaran angkutan laut PT Berlian Laju Tanker Tbk BLTA mengatakan berencana untuk menambah armada -nya dengan membeli kapal baru atau bekas untuk jumlah senilai 500 juta dolar AS dalam jangka waktu satu tahun sejak mendapat persetujuan RUPSLB yang akan diselenggarakan pada 24 Mei 2007 .,NN NN NN NN NN NNP NNP NN NNP NNP NN VB VB SC VB NN PRP IN VB NN JJ CC NN SC NN NN CD CD NN NNP IN NN NN CD NN IN VB NN NN SC MD VB IN CD NNP CD Z
"Dengan membaik -nya ekonomi AS maka laju-inflasi yang terjadi di berbagai negara , baik di Asia , Eropa maupun di Amerika akan bergerak turun , karena ekonomi global menuju ke arah positif , kata -nya di Jakarta , Selasa .",IN VB PRP NN NNP SC NN SC VB IN CD NN Z CC IN NNP Z NNP CC IN NNP MD VB VB Z SC NN JJ VB IN NN JJ Z VB PRP IN NNP Z NNP Z
"Kondisi ini tentu -nya membuat kita bertanya , apa gerangan yang menyebabkan nilai rupiah mudah terkoreksi .",NN PR RB PRP VB PRP VB Z WH RB SC VB NN NN JJ VB Z
"Fasilitas kredit dengan jangka waktu setahun tersebut akan digunakan untuk pembelian bahan-baku , bahan pembantu dan suku-cadang , guna memenuhi permintaan baja dan pasar domestik yang terus meningkat .",NN NN IN NN NN NN PR MD VB IN NN NN Z NN NN CC NN Z SC VB NN NN CC NN JJ SC RB VB Z
"Komposisi volume penjualan -nya terdiri dari 63 persen untuk pasar domestik , dan sisa -nya 37 persen untuk ekspor .",NN NN NN PRP VB IN CD CD SC NN JJ Z CC NN PRP CD CD SC NN Z
"Perang saudara di negara kecil itu mengadu tentara , yang sampai baru-baru-ini dikuasai suku kecil Tutsi , melawan berbagai gerakan pemberontak Hutu .",NN NN IN NN JJ PR VB NN Z SC IN RB VB NN JJ NNP Z VB CD NN NN NNP Z
"Erick Sugandhi menduga BI rate akan mengalami kenaikan pada bulan Oktober mendatang sebesar 25 basis poin menjadi 9,50 persen dan pada November 25 basis poin menjadi 9,75 persen , sedangkan pada bulan Desember nanti diperkirakan BI Rate stagnan .",NNP NNP VB NNP FW MD VB NN IN NN NNP VB JJ CD NN NN VB CD CD CC IN NNP CD NN NN VB CD CD Z CC IN NN NNP SC VB NNP FW JJ Z
"Cadangan kita sempat di atas 59 dolar AS , karena untuk operasi pasar , maka nilai naik-turun , kata -nya .",NN PRP MD IN NN CD NN NNP Z SC IN NN NN Z SC NN VB Z VB PRP Z
"Prodi mengundurkan diri pekan lalu , setelah sembilan bulan memerintah dengan kekalahan dalam kebijakan luar-negeri di Senat setelah sebagian anggota parlemen sayap - kiri di dalam koalisi sembilan partai -nya memberi-suara yang tak mendukung dia .",NNP VB NN NN CC Z SC CD NN VB SC NN IN NN NN IN NNP SC CD NN NN NN Z NN IN NN NN CD NN PRP VB SC NEG VB PRP Z
"Dalam jumpa-pers bersama Dirut Bursa Efek Jakarta BEJ , Erry Firmansyah di gedung Depkeu Jakarta , Rabu malam , Menkeu menjelaskan beberapa faktor ekonomi Indonesia justru membaik .",IN NN IN NN NNP NNP NNP NNP Z NNP NNP IN NNP NNP NNP Z NNP NN Z NN VB CD NN NN NNP RB VB Z
